BFS_NR;GEBIET_NAME;THEMA_NAME;SET_NAME;SUBSET_NAME;INDIKATOR_ID;INDIKATOR_NAME;INDIKATOR_JAHR;INDIKATOR_VALUE;EINHEIT_KURZ;EINHEIT_LANG;
1;Aeugst a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2012;96.00;%;Prozent;
1;Aeugst a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2013;96.00;%;Prozent;
1;Aeugst a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2014;98.00;%;Prozent;
1;Aeugst a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2015;98.00;%;Prozent;
1;Aeugst a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2016;96.00;%;Prozent;
1;Aeugst a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2017;96.00;%;Prozent;
2;Affoltern a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2012;122.00;%;Prozent;
2;Affoltern a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2013;122.00;%;Prozent;
2;Affoltern a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2014;124.00;%;Prozent;
2;Affoltern a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2015;124.00;%;Prozent;
2;Affoltern a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2016;124.00;%;Prozent;
2;Affoltern a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2017;124.00;%;Prozent;
3;Bonstetten;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2012;105.00;%;Prozent;
3;Bonstetten;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2013;108.00;%;Prozent;
3;Bonstetten;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2014;108.00;%;Prozent;
3;Bonstetten;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2015;108.00;%;Prozent;
3;Bonstetten;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2016;110.00;%;Prozent;
3;Bonstetten;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2017;110.00;%;Prozent;
4;Hausen a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2012;108.00;%;Prozent;
4;Hausen a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2013;108.00;%;Prozent;
4;Hausen a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2014;112.00;%;Prozent;
4;Hausen a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2015;112.00;%;Prozent;
4;Hausen a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2016;112.00;%;Prozent;
4;Hausen a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2017;112.00;%;Prozent;
5;Hedingen;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2012;101.00;%;Prozent;
5;Hedingen;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2013;101.00;%;Prozent;
5;Hedingen;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2014;98.00;%;Prozent;
5;Hedingen;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2015;98.00;%;Prozent;
5;Hedingen;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2016;105.00;%;Prozent;
5;Hedingen;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2017;105.00;%;Prozent;
6;Kappel a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2012;112.00;%;Prozent;
6;Kappel a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2013;112.00;%;Prozent;
6;Kappel a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2014;112.00;%;Prozent;
6;Kappel a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2015;112.00;%;Prozent;
6;Kappel a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2016;112.00;%;Prozent;
6;Kappel a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2017;112.00;%;Prozent;
7;Knonau;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2012;115.00;%;Prozent;
7;Knonau;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2013;115.00;%;Prozent;
7;Knonau;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2014;112.00;%;Prozent;
7;Knonau;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2015;112.00;%;Prozent;
7;Knonau;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2016;112.00;%;Prozent;
7;Knonau;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2017;111.00;%;Prozent;
8;Maschwanden;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2012;122.00;%;Prozent;
8;Maschwanden;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2013;122.00;%;Prozent;
8;Maschwanden;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2014;124.00;%;Prozent;
8;Maschwanden;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2015;124.00;%;Prozent;
8;Maschwanden;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2016;124.00;%;Prozent;
8;Maschwanden;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2017;130.00;%;Prozent;
9;Mettmenstetten;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2012;99.00;%;Prozent;
9;Mettmenstetten;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2013;99.00;%;Prozent;
9;Mettmenstetten;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2014;99.00;%;Prozent;
9;Mettmenstetten;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2015;102.00;%;Prozent;
9;Mettmenstetten;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2016;102.00;%;Prozent;
9;Mettmenstetten;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2017;101.00;%;Prozent;
10;Obfelden;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2012;118.00;%;Prozent;
10;Obfelden;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2013;115.00;%;Prozent;
10;Obfelden;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2014;118.00;%;Prozent;
10;Obfelden;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2015;119.00;%;Prozent;
10;Obfelden;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2016;123.00;%;Prozent;
10;Obfelden;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2017;121.00;%;Prozent;
11;Ottenbach;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2012;107.00;%;Prozent;
11;Ottenbach;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2013;105.00;%;Prozent;
11;Ottenbach;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2014;108.00;%;Prozent;
11;Ottenbach;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2015;112.00;%;Prozent;
11;Ottenbach;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2016;115.00;%;Prozent;
11;Ottenbach;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2017;117.00;%;Prozent;
12;Rifferswil;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2012;107.00;%;Prozent;
12;Rifferswil;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2013;107.00;%;Prozent;
12;Rifferswil;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2014;112.00;%;Prozent;
12;Rifferswil;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2015;112.00;%;Prozent;
12;Rifferswil;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2016;134.00;%;Prozent;
12;Rifferswil;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2017;135.00;%;Prozent;
13;Stallikon;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2012;86.00;%;Prozent;
13;Stallikon;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2013;86.00;%;Prozent;
13;Stallikon;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2014;91.00;%;Prozent;
13;Stallikon;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2015;91.00;%;Prozent;
13;Stallikon;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2016;98.00;%;Prozent;
13;Stallikon;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2017;98.00;%;Prozent;
14;Wettswil a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2012;84.00;%;Prozent;
14;Wettswil a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2013;84.00;%;Prozent;
14;Wettswil a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2014;84.00;%;Prozent;
14;Wettswil a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2015;84.00;%;Prozent;
14;Wettswil a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2016;86.00;%;Prozent;
14;Wettswil a.A.;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2017;89.00;%;Prozent;
21;Adlikon;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2012;118.00;%;Prozent;
21;Adlikon;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2013;119.61;%;Prozent;
21;Adlikon;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2014;119.71;%;Prozent;
21;Adlikon;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2015;119.67;%;Prozent;
21;Adlikon;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2016;118.12;%;Prozent;
21;Adlikon;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2017;119.91;%;Prozent;
22;Benken;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2012;119.00;%;Prozent;
22;Benken;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2013;119.00;%;Prozent;
22;Benken;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2014;119.00;%;Prozent;
22;Benken;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2015;119.00;%;Prozent;
22;Benken;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2016;118.00;%;Prozent;
22;Benken;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2017;118.00;%;Prozent;
23;Berg a.I.;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2012;110.00;%;Prozent;
23;Berg a.I.;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2013;109.00;%;Prozent;
23;Berg a.I.;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2014;109.00;%;Prozent;
23;Berg a.I.;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2015;109.00;%;Prozent;
23;Berg a.I.;Öffentliche Finanzen;Gemeindesteuern;Steuerfüsse;65;Gesamtsteuerfuss (ohne Kirchen) [%];2016;109.00;%;Prozent;
