"adresse","name","poi_id","tel","www","nummer","eignung","geraete","infrastruk","besonderes","typ","elemente","x_wgs84","y_wgs84"
"Engelbertstrasse","Mattenhof","sp026","+41 44 322 02 20","http://www.stadt-zuerich.ch/content/ted/de/index/gsz/natur-_und_erlebnisraeume/spielplaetze.html",26,"0 - 9 Jahre","Sitzkarussell, Pumpen, Hangrutsche, Federwippe, Kletteranlage, Balanciergerät, Rundlauf, Tischtennistisch","WC, Feuerstellen, Sitzbänke","grosszügige, naturnahe Anlage, Familienausflugsziel, Schlüssel für Toilette muss beim Friedhof Schwamendingen ausgeliehen werden","Spielplatz","Sandanlage, Spiel- und Liegewiese",8.589921011,47.397965776
"Hüttenkopf-/Ziegelhüttenstrasse","Ziegelhütte","sp025","+41 44 322 02 20","http://www.stadt-zuerich.ch/content/ted/de/index/gsz/natur-_und_erlebnisraeume/spielplaetze.html",25,"0 - 9 Jahre","Brettschaukel, Sandkasten, Sitzkarussell","Sitzbänke, Feuerstellen, Brunnen","Ausflugsziel, Aussicht, am Waldrand","Spielplatz","Spiel- und Liegewiese, Spielhügel",8.573773706,47.398665226
"Buchegg-/Hofwiesenstrasse","GZ Buchegg","sp024","+41 44 361 63 18","http://www.stadt-zuerich.ch/content/ted/de/index/gsz/natur-_und_erlebnisraeume/spielplaetze.html",24,"0 - 16 Jahre","Hängematte, Seilbahn,  Hangrutsche, Geschlossene Rutsche, Kombischaukel,  Brettschaukel, Kletterelement, Balanciergerät, Korbschaukel, Sandspielgeräte, Pumpen, Wasserspiel","Sitzbänke, Feuerstellen","Gemeinschaftszentrum mit Tieren,  grosszügige Anlage, Velopark","GZ mit Spielplatz","Sandanlage, Spiel- und Liegewiese, Boulderwand, Spielhügel",8.534714048,47.399717084
"Obere Waidstrasse","Obere Waidstrasse","sp023","+41 44 361 63 18","http://www.stadt-zuerich.ch/content/ted/de/index/gsz/natur-_und_erlebnisraeume/spielplaetze.html",23,"0-5 Jahre","Sandbereich, Brettschaukel, Kletteranlage mit Rutsche","Brunnen, Sitzbänke","Aussichtspunkt","Spielplatz","Sandanlage",8.52212626,47.399610961
"Schürbungert/Steinkluppenweg/Anna Heer Strasse","Steinkluppenanlage","sp021","+41 44 361 63 18","http://www.stadt-zuerich.ch/content/ted/de/index/gsz/natur-_und_erlebnisraeume/spielplaetze.html",21,"0-5 Jahre","Brettschaukel, Kletteranlage mit Rutsche, Sandbereich","Brunnen,  Sitzbänke","Rollschuhbahn","Spielplatz","Spiel- und Liegewiese",8.540169795,47.400879523
"Helen-Keller-Strasse","GZ Hirzenbach","sp020","+41 44 322 02 20","http://www.stadt-zuerich.ch/content/ted/de/index/gsz/natur-_und_erlebnisraeume/spielplaetze.html",20,"0 - 16 Jahre","Pumpe, Korbschaukel, Hangrutsche, Pendelschaukel, Wasserspiel,  Brettschaukel, Seilanlage, Seilbahn, Sandbereich, Sandspielgerät, Tischtennistisch","Feuerstellen","Gemeinschaftszentrum, naturnahe Umgebung","GZ mit Spielplatz","grosse Spiel- und Liegewiese, grosse Kiesfläche, Spielhügel",8.591532619,47.402154305
"Regensberg-/Binzwiesen-/Friedheimstrasse","Waldgarten","sp019","+41 44 322 02 20","http://www.stadt-zuerich.ch/content/ted/de/index/gsz/natur-_und_erlebnisraeume/spielplaetze.html",19,"0 - 16 Jahre","Kletteranlage mit Rutsche, Brettschaukel, Kletterbaumstamm,  Sandbereich, Tischtennistisch, Sandkasten","Brunnen","grosse Spielwiese mit Quartiertreff","Spielplatz","grosse Spiel- und Liegewiese, grosse Kiesfläche",8.555143393,47.404257623
"Lyrenweg","Buchlern Sportanlage","sp104b","+41 44 431 57 61","http://www.stadt-zuerich.ch/content/ted/de/index/gsz/natur-_und_erlebnisraeume/spielplaetze.html","104b","0 - 5 Jahre","Balkenwippe, Brettschaukel, Spielhaus, Federwippe, Drehteller","Sitzbänke, Brunnen","übersichtliche Spielanlage neben Café bei Sportanlage","Spielplatz","Kiesplatz",8.476924175,47.380895369
"Algierstrasse","Buchlern","sp104a","+41 44 431 57 61","http://www.stadt-zuerich.ch/content/ted/de/index/gsz/natur-_und_erlebnisraeume/spielplaetze.html","104a","0 - 9 Jahre","Bockrutsche, Federwippe, Seilbahn, Brettschaukel, Sandbereich, Federwippe, Balanciergerät, Kletteranlage mit Rutsche","Sitzbänke, Fussballtore","grosszügige Spielanlage am Bach","Spielplatz","Bach, Spiel- und Liegewiese",8.47981329,47.379841111
"Wehntalerstrasse 350","Bauspielspass Affoltern","sp192","+41 44 371 09 20","http://www.stadt-zuerich.ch/content/ted/de/index/gsz/natur-_und_erlebnisraeume/spielplaetze.html",192,"0 - 16 Jahre","keine Spielgeräte","Feuerstelle","Hauptaktivität ist der Bau von Hütten und das Werken mit Holz und anderen Materialien, beaufsichtigter Bauspielplatz mit Öffnungszeiten","Bauspielplatz - privater Verei","Abenteuerspielplatz",8.520235107,47.413472032
